診断ID,能力ID,診断課題案,観察・提出物,初期時間分,実施条件,開発期,状態,問題版,参照
D-F1,F1,二者の依頼の背景と確認質問を作る,相手の目的・制約・確認質問,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-F2,F2,二人作業の分担と引渡し条件を設計する,分担表と受渡し条件,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-F3,F3,期限と品質が衝突する場面を調整する,合意・未決・次の確認の記録,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-F4,F4,不適切な依頼への指摘と代案を作る,観察事実・影響・代案・共有メモ,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-G1,G1,依頼の背景から成功指標を選ぶ,利用者・困り事・価値・成功条件,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-G2,G2,3案の導入・確認・維持負担を比較する,総費用・便益・不確実性の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-G3,G3,手順変更の影響先を洗い出す,前後工程・影響・確認先の図,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-G4,G4,架空業務の無駄から改善案を2案作る,困り事・改善案・小実験の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-H1,H1,架空権限表から実施と保留を分類する,実施可・承認要・不可と根拠,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-H2,H2,架空データの入力・共有可否を分類する,情報区分・共有先・代替方法,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
D-H3,H3,誤送信や誤更新の模擬対応順序を決める,予防・停止・報告・復旧の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-H4,H4,完了報告から過剰な断定を直す,判断者・根拠・確認・残存リスク,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-I1,I1,文書・表計算・相談の使い分けを選ぶ,道具・選択理由・基本操作の記録,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-I2,I2,架空ファイル一覧から正本と整理方針を選ぶ,正本・版・権限・保存場所の台帳,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-I3,I3,自力では解けない課題の支援依頼を作る,不足・候補・依頼内容・期限の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第2期,仕様案,,S03;S04;S05
D-I4,I4,AIへの作業依頼と承認・停止条件を設計する,委任範囲・承認・検証・停止・代替の表,15,通常資料・電卓可／初回生成AI不可／支援条件を記録,第1期,仕様案,,S03;S04;S05
