能力ID,観察行動,未達例,0：未到達,1：支援下,2：定型自律,3：非定型自律,AI適用行動,根拠・状態
C3,重要箇所を独立根拠で照合し未確認を分ける,エラー表示がないので正常と報告する,作成済み・エラーなしだけで完了とする,照合手順を与えれば重要箇所を確認できる,受入条件に沿い独立根拠で照合し未確認を分離できる,非定型な誤りや例外を予測し検証方法を設計できる,同じAIへの再質問だけで検証を終えない,S09 / 第1期基準案
C4,正本と未完了事項を示して引き渡す,送信済みだけで完了報告する,送信済みだけで完了報告する,具体的な手順と確認があれば実行できる,定型業務で「正本と未完了事項を示して引き渡す」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI実施範囲と人間の確認範囲を残す,S09 / 骨子・未検証
D1,主張ごとの確信と不足根拠を明示する,分かったつもりのまま断定する,未確認を確実と述べる,問いかけられれば理解できていない箇所を示せる,事実・推測・未確認を根拠とともに自ら区別できる,新しい条件でも判断可能範囲を見極め確認・相談を選べる,AIの自信と自分の理解を混同しない,S09 / 第1期基準案
D2,割込み後に確認箇所へ戻り衝動的変更を止める,焦って確認を省略する,焦って確認を省略する,具体的な手順と確認があれば実行できる,定型業務で「割込み後に確認箇所へ戻り衝動的変更を止める」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,通知や生成量による注意分散を管理する,S09 / 骨子・未検証
D3,業務量と期限を示して配分変更を相談する,無理な量を抱え問題を隠す,無理な量を抱え問題を隠す,具体的な手順と確認があれば実行できる,定型業務で「業務量と期限を示して配分変更を相談する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,健康情報を申告させず業務条件と支援を扱う,S09 / 骨子・未検証
D4,最初の一手と見切り条件を決めて着手する,指示待ちか独断のどちらかになる,指示待ちか独断のどちらかになる,具体的な手順と確認があれば実行できる,定型業務で「最初の一手と見切り条件を決めて着手する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの繰返し出力を打ち切る条件を持つ,S09 / 骨子・未検証
E1,学習目標と理解確認の方法を選ぶ,教材を読むだけで習得とする,教材を読むだけで習得とする,具体的な手順と確認があれば実行できる,定型業務で「学習目標と理解確認の方法を選ぶ」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI解説の閲覧と理解確認を分離する,S09 / 骨子・未検証
E2,指摘箇所だけでなく同種箇所を自ら修正する,指定箇所だけ直し同じ誤りを残す,同じ種類の誤りを修正後も残す,指摘された箇所だけは直せる,指摘理由を説明し同種箇所を自ら修正できる,別資料・遅延課題でも規則を適用し例外を判断できる,AI修正を貼るだけでなく理由を説明する,S09 / 第1期基準案
E3,新旧の差と影響する手順を特定する,旧手順を条件確認なく適用する,旧手順を条件確認なく適用する,具体的な手順と確認があれば実行できる,定型業務で「新旧の差と影響する手順を特定する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,モデルや利用条件の変更を確認する,S09 / 骨子・未検証
E4,比較条件を定め期間を空けて再確認する,直後にできたことを恒久習得とする,直後にできたことを恒久習得とする,具体的な手順と確認があれば実行できる,定型業務で「比較条件を定め期間を空けて再確認する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIなしで保持すべき能力を限定して再確認する,S09 / 骨子・未検証
F1,相手の条件を質問で確かめ対応を変える,自分の前提を相手へ当てはめる,自分の前提を相手へ当てはめる,具体的な手順と確認があれば実行できる,定型業務で「相手の条件を質問で確かめ対応を変える」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの架空の動機推測を採用しない,S09 / 骨子・未検証
F2,担当・期限・受渡し条件を合意する,誰かがやると考え作業が落ちる,誰かがやると考え作業が落ちる,具体的な手順と確認があれば実行できる,定型業務で「担当・期限・受渡し条件を合意する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI担当範囲を人間の担当と混同しない,S09 / 骨子・未検証
F3,共通目的と譲れない条件を分ける,異論を人格問題に置き換える,異論を人格問題に置き換える,具体的な手順と確認があれば実行できる,定型業務で「共通目的と譲れない条件を分ける」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの説得文ではなく当事者の合意を確認する,S09 / 骨子・未検証
F4,事実と影響に基づき異議と代案を出す,黙って従うか個人攻撃にする,黙って従うか個人攻撃にする,具体的な手順と確認があれば実行できる,定型業務で「事実と影響に基づき異議と代案を出す」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI要約から根拠と例外を落とさない,S09 / 骨子・未検証
G1,成果物の量でなく利用者の改善を説明する,作業量を価値と同一視する,作業量を価値と同一視する,具体的な手順と確認があれば実行できる,定型業務で「成果物の量でなく利用者の改善を説明する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,生成数より成果と確認負担を評価する,S09 / 骨子・未検証
G2,初期費用と継続費用を区別する,目先の安さだけで選ぶ,目先の安さだけで選ぶ,具体的な手順と確認があれば実行できる,定型業務で「初期費用と継続費用を区別する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの利用料だけでなくレビュー費を含める,S09 / 骨子・未検証
G3,変更が誰のどの工程へ影響するか示す,自分の効率だけで判断する,自分の効率だけで判断する,具体的な手順と確認があれば実行できる,定型業務で「変更が誰のどの工程へ影響するか示す」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,大量生成が後工程を圧迫する影響を確認する,S09 / 骨子・未検証
G4,異なる複数案を小さく試す案にする,新しい道具の導入自体を改善とする,新しい道具の導入自体を改善とする,具体的な手順と確認があれば実行できる,定型業務で「異なる複数案を小さく試す案にする」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIを案の探索に使い採用理由は人が決める,S09 / 骨子・未検証
H1,実施可・承認要・不可を区別する,上司の依頼だけで規程違反を実行する,明示された権限外の処理を実行可とする,権限表の参照箇所を示せば区分できる,実施可・承認要・不可を根拠付きで独立分類できる,規程と依頼の矛盾を保留し確認先と代替を提示できる,AI接続先や実行権限を最小範囲にする,S09 / 第1期基準案
H2,必要情報だけを目的と権限に応じて扱う,便利さのために広く共有する,不必要な個人情報や機密を外部へ出す案を選ぶ,分類例があれば共有可否を判断できる,定型情報を目的・権限に応じ最小範囲で扱える,複合的なリスクを見つけ安全な代替手段を選べる,外部AIへ入れない情報と安全な代替を選ぶ,S09 / 第1期基準案
H3,高影響作業に停止・復旧条件を置く,失敗時の対応を考えず着手する,失敗時の対応を考えず着手する,具体的な手順と確認があれば実行できる,定型業務で「高影響作業に停止・復旧条件を置く」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIの誤実行を止め代替へ切り替える,S09 / 骨子・未検証
H4,自分とAIの実施・確認範囲を分ける,AIが作ったので責任はないとする,AIが作ったので責任はないとする,具体的な手順と確認があれば実行できる,定型業務で「自分とAIの実施・確認範囲を分ける」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,生成・確認・承認の主体を明確にする,S09 / 骨子・未検証
I1,目的に合う道具を選び基本操作を完了する,慣れた道具を全作業へ使う,慣れた道具を全作業へ使う,具体的な手順と確認があれば実行できる,定型業務で「目的に合う道具を選び基本操作を完了する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIが適さない計算や確定判断を切り分ける,S09 / 骨子・未検証
I2,正本と版を明示し適切な範囲で共有する,最新版や保存先が分からない,最新版や保存先が分からない,具体的な手順と確認があれば実行できる,定型業務で「正本と版を明示し適切な範囲で共有する」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AI生成物と確認済み正本を区別する,S09 / 骨子・未検証
I3,不足資源と相談先を根拠付きで示す,すべて自力かすべて丸投げにする,すべて自力かすべて丸投げにする,具体的な手順と確認があれば実行できる,定型業務で「不足資源と相談先を根拠付きで示す」を自力で行える,条件変更・例外があっても方法を調整し根拠を説明できる,AIで補えない専門判断を人へ接続する,S09 / 骨子・未検証
I4,目的・禁止・承認点・検証・停止条件を先に決める,完了報告を無検証で採用する,目的だけを委任し確認や停止条件を持たない,型を与えれば委任範囲と確認点を書ける,定型作業の禁止・承認・検証・停止を自ら設計できる,曖昧な依頼でも可逆性と監視可能性に応じ分担を再設計できる,生成AI・エージェントへ安全に委任する,S09 / 第1期基準案
